ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,France Wine,France Champagne Wine,FRANCE,47613,MOET AND CHANDON - BRUT IMPERIAL,3185370785249,1.5,1,12,172.99,0
Spirits,Tequila,Mezcal,MEXICO,78022,MONTELOBOS - MEZCAL JOVEN,83664872978,0.75,1,43.2,67.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,86226,BOLGHERI SUPERIORE - ORNELLAIA 2016,818201020358,6,1,14,2800,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,210211,BARTIER BROS. - CHARDONNAY 2023,628055147169,0.75,1,13.5,25.99,0
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,216779,DEWAR'S WHITE LABEL,7640171032665,1.75,1,40,59.99,NA
Spirits,Vodka,Straight Vodka,CANADA,271965,SMIRNOFF - RED LABEL,776103000239,0.2,1,40,9.79,NA
Spirits,Rum,Amber Rum,CUBA,282046,HAVANA CLUB SELECCION DE MAESTROS,8501110089852,0.7,1,45,79.99,NA
Wine,France Wine,France White Wine,FRANCE,295105,CHATEAUNEUF DU PAPE BLANC - CHATEAU RAYAS 2014,696852127875,0.75,1,13,500,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,337372,SIMES VINEYARD - MARTIN'S LANE RIESLING 2022,776545994431,0.75,1,9.9,65.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,374108,SAWMILL CREEK - CABERNET SAUVIGNON,63657024126,4,1,12.5,41.99,0
Wine,France Wine,France Red Wine,FRANCE,374965,COTES DU RHONE - CHATEAU DES TOURS GRANDE RESERVE,626990432517,0.75,1,15,125.99,0
General Merchandise,De-Alcoholized Product,Beer And Refreshment De-Alcoholized Product,CANADA,375986,OLE COCKTAIL CO - MARGARITA MOCKTAIL,628942141133,0.355,4,0.04,13.79,NA
Wine,France Wine,France Red Wine,FRANCE,382034,MARGAUX - CHATEAU GISCOURS 2020,,0.75,1,13,145,NA
Wine,France Wine,France Red Wine,FRANCE,411954,MARGAUX - CHATEAU BOYD CANTENAC 2021,,0.75,1,13,120,NA
Wine,France Wine,France Red Wine,FRANCE,412949,BLAYE - CHATEAU LA GAMAYE 2019,3701273700068,0.75,1,14,30,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,478727,MALBEC - CATENA HIGH MOUNTAIN VINES,7794450008053,0.75,1,13.5,23.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,556621,BURROWING OWL - CABERNET FRANC 2022,688229005206,0.75,1,13.5,38.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,662662,WYATT ROSE RANCH WATER - BLOOD ORANGE CAN,805763002304,0.355,6,5,14.49,NA
Wine,France Wine,France White Wine,FRANCE,686069,MEURSAULT - JEAN FERY 2023,3464170922048,0.75,1,13,157.99,0
Wine,France Wine,France Red Wine,FRANCE,741504,CHATEAU PONTET CANET 2014,3760188377239,0.75,1,13.5,190,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,883827,CABERNET SAUVIGNON - NIEBAUM-PENNINO 1882,896136001826,0.75,1,14.5,79.99,0
